Date,Council,Positive_Cases_per_LA
2021-01-13,Na h-Eileanan Siar,6
2021-01-13,North Ayrshire,48
2021-01-13,North Lanarkshire,146
2021-01-13,Orkney Islands,1
2021-01-13,Perth & Kinross,34
2021-01-13,Renfrewshire,75
2021-01-13,Scottish Borders,21
2021-01-13,Shetland Islands,2
2021-01-13,South Ayrshire,33
2021-01-13,South Lanarkshire,106
2021-01-13,Stirling,21
2021-01-13,West Dunbartonshire,29
2021-01-13,West Lothian,35
2021-01-14,Aberdeen City,54
2021-01-14,Aberdeenshire,44
2021-01-14,Angus,26
2021-01-14,Argyll & Bute,8
2021-01-14,City of Edinburgh,83
2021-01-14,Clackmannanshire,18
2021-01-14,Dumfries & Galloway,44
2021-01-14,Dundee City,39
2021-01-14,East Ayrshire,43
2021-01-14,East Dunbartonshire,37
2021-01-14,East Lothian,16
2021-01-14,East Renfrewshire,23
2021-01-14,Falkirk,47
2021-01-14,Fife,68
2021-01-14,Glasgow City,252
2021-01-14,Highland,28
2021-01-14,Inverclyde,24
2021-01-14,Midlothian,15
2021-01-14,Moray,17
2021-01-14,Na h-Eileanan Siar,4
2021-01-14,North Ayrshire,45
2021-01-14,North Lanarkshire,146
2021-01-14,Orkney Islands,1
2021-01-14,Perth & Kinross,32
2021-01-14,Renfrewshire,67
2021-01-14,Scottish Borders,22
2021-01-14,Shetland Islands,3
2021-01-14,South Ayrshire,32
2021-01-14,South Lanarkshire,108
2021-01-14,Stirling,18
2021-01-14,West Dunbartonshire,29
2021-01-14,West Lothian,35
2021-01-15,Aberdeen City,50
2021-01-15,Aberdeenshire,42
2021-01-15,Angus,26
2021-01-15,Argyll & Bute,8
2021-01-15,City of Edinburgh,83
2021-01-15,Clackmannanshire,17
2021-01-15,Dumfries & Galloway,39
2021-01-15,Dundee City,38
2021-01-15,East Ayrshire,41
2021-01-15,East Dunbartonshire,36
2021-01-15,East Lothian,15
2021-01-15,East Renfrewshire,23
2021-01-15,Falkirk,46
2021-01-15,Fife,63
2021-01-15,Glasgow City,243
2021-01-15,Highland,27
2021-01-15,Inverclyde,25
2021-01-15,Midlothian,17
2021-01-15,Moray,19
2021-01-15,Na h-Eileanan Siar,4
2021-01-15,North Ayrshire,42
2021-01-15,North Lanarkshire,139
2021-01-15,Orkney Islands,1
2021-01-15,Perth & Kinross,30
2021-01-15,Renfrewshire,65
2021-01-15,Scottish Borders,23
2021-01-15,Shetland Islands,2
2021-01-15,South Ayrshire,29
2021-01-15,South Lanarkshire,108
2021-01-15,Stirling,18
2021-01-15,West Dunbartonshire,28
2021-01-15,West Lothian,36
2021-01-16,Aberdeen City,48
2021-01-16,Aberdeenshire,40
2021-01-16,Angus,27
2021-01-16,Argyll & Bute,7
2021-01-16,City of Edinburgh,80
2021-01-16,Clackmannanshire,16
2021-01-16,Dumfries & Galloway,40
2021-01-16,Dundee City,34
2021-01-16,East Ayrshire,42
2021-01-16,East Dunbartonshire,35
2021-01-16,East Lothian,15
2021-01-16,East Renfrewshire,23
2021-01-16,Falkirk,46
2021-01-16,Fife,60
2021-01-16,Glasgow City,233
2021-01-16,Highland,27
2021-01-16,Inverclyde,23
2021-01-16,Midlothian,17
2021-01-16,Moray,19
2021-01-16,Na h-Eileanan Siar,2
2021-01-16,North Ayrshire,43
2021-01-16,North Lanarkshire,140
2021-01-16,Orkney Islands,1
2021-01-16,Perth & Kinross,30
2021-01-16,Renfrewshire,62
2021-01-16,Scottish Borders,22
2021-01-16,Shetland Islands,2
2021-01-16,South Ayrshire,28
2021-01-16,South Lanarkshire,105
2021-01-16,Stirling,19
2021-01-16,West Dunbartonshire,28
2021-01-16,West Lothian,35
2021-01-17,Aberdeen City,46
2021-01-17,Aberdeenshire,40
2021-01-17,Angus,29
2021-01-17,Argyll & Bute,7
2021-01-17,City of Edinburgh,74
2021-01-17,Clackmannanshire,14
2021-01-17,Dumfries & Galloway,39
2021-01-17,Dundee City,33
2021-01-17,East Ayrshire,39
2021-01-17,East Dunbartonshire,33
2021-01-17,East Lothian,13
2021-01-17,East Renfrewshire,23
2021-01-17,Falkirk,45
2021-01-17,Fife,58
2021-01-17,Glasgow City,231
2021-01-17,Highland,27
2021-01-17,Inverclyde,19
2021-01-17,Midlothian,15
2021-01-17,Moray,16
2021-01-17,Na h-Eileanan Siar,2
2021-01-17,North Ayrshire,42
2021-01-17,North Lanarkshire,136
2021-01-17,Orkney Islands,1
2021-01-17,Perth & Kinross,29
2021-01-17,Renfrewshire,59
2021-01-17,Scottish Borders,20
2021-01-17,Shetland Islands,1
2021-01-17,South Ayrshire,25
2021-01-17,South Lanarkshire,104
2021-01-17,Stirling,17
2021-01-17,West Dunbartonshire,27
2021-01-17,West Lothian,35
2021-01-18,Aberdeen City,44
2021-01-18,Aberdeenshire,37
2021-01-18,Angus,30
2021-01-18,Argyll & Bute,9
2021-01-18,City of Edinburgh,71
2021-01-18,Clackmannanshire,14
2021-01-18,Dumfries & Galloway,37
2021-01-18,Dundee City,28
2021-01-18,East Ayrshire,37
2021-01-18,East Dunbartonshire,32
2021-01-18,East Lothian,11
2021-01-18,East Renfrewshire,23
2021-01-18,Falkirk,39
2021-01-18,Fife,51
2021-01-18,Glasgow City,225
2021-01-18,Highland,26
2021-01-18,Inverclyde,17
2021-01-18,Midlothian,14
2021-01-18,Moray,16
2021-01-18,Na h-Eileanan Siar,2
2021-01-18,North Ayrshire,41
2021-01-18,North Lanarkshire,137
2021-01-18,Orkney Islands,1
2021-01-18,Perth & Kinross,25
2021-01-18,Renfrewshire,54
2021-01-18,Scottish Borders,19
2021-01-18,Shetland Islands,1
2021-01-18,South Ayrshire,25
2021-01-18,South Lanarkshire,99
2021-01-18,Stirling,18
2021-01-18,West Dunbartonshire,27
2021-01-18,West Lothian,32
2021-01-19,Aberdeen City,40
2021-01-19,Aberdeenshire,36
2021-01-19,Angus,28
2021-01-19,Argyll & Bute,8
2021-01-19,City of Edinburgh,67
2021-01-19,Clackmannanshire,14
2021-01-19,Dumfries & Galloway,36
2021-01-19,Dundee City,25
2021-01-19,East Ayrshire,36
2021-01-19,East Dunbartonshire,27
2021-01-19,East Lothian,10
2021-01-19,East Renfrewshire,23
2021-01-19,Falkirk,40
2021-01-19,Fife,51
2021-01-19,Glasgow City,214
2021-01-19,Highland,27
2021-01-19,Inverclyde,16
2021-01-19,Midlothian,15
2021-01-19,Moray,16
2021-01-19,Na h-Eileanan Siar,1
2021-01-19,North Ayrshire,38
2021-01-19,North Lanarkshire,127
2021-01-19,Orkney Islands,1
2021-01-19,Perth & Kinross,25
2021-01-19,Renfrewshire,48
2021-01-19,Scottish Borders,17
2021-01-19,Shetland Islands,1
2021-01-19,South Ayrshire,25
2021-01-19,South Lanarkshire,99
2021-01-19,Stirling,18
2021-01-19,West Dunbartonshire,26
2021-01-19,West Lothian,33
2021-01-20,Aberdeen City,38
2021-01-20,Aberdeenshire,30
2021-01-20,Angus,24
2021-01-20,Argyll & Bute,8
2021-01-20,City of Edinburgh,63
2021-01-20,Clackmannanshire,13
2021-01-20,Dumfries & Galloway,32
2021-01-20,Dundee City,24
2021-01-20,East Ayrshire,32
2021-01-20,East Dunbartonshire,26
2021-01-20,East Lothian,11
2021-01-20,East Renfrewshire,24
2021-01-20,Falkirk,38
2021-01-20,Fife,46
2021-01-20,Glasgow City,202
2021-01-20,Highland,25
2021-01-20,Inverclyde,15
2021-01-20,Midlothian,16
2021-01-20,Moray,16
2021-01-20,Na h-Eileanan Siar,2
2021-01-20,North Ayrshire,38
2021-01-20,North Lanarkshire,122
2021-01-20,Orkney Islands,1
2021-01-20,Perth & Kinross,22
2021-01-20,Renfrewshire,45
2021-01-20,Scottish Borders,16
2021-01-20,Shetland Islands,1
2021-01-20,South Ayrshire,22
2021-01-20,South Lanarkshire,94
2021-01-20,Stirling,18
2021-01-20,West Dunbartonshire,23
2021-01-20,West Lothian,33
2021-01-21,Aberdeen City,33
2021-01-21,Aberdeenshire,29
2021-01-21,Angus,23
2021-01-21,Argyll & Bute,8
2021-01-21,City of Edinburgh,60
2021-01-21,Clackmannanshire,13
2021-01-21,Dumfries & Galloway,31
2021-01-21,Dundee City,24
2021-01-21,East Ayrshire,32
2021-01-21,East Dunbartonshire,26
2021-01-21,East Lothian,11
2021-01-21,East Renfrewshire,25
2021-01-21,Falkirk,38
2021-01-21,Fife,45
2021-01-21,Glasgow City,202
2021-01-21,Highland,26
2021-01-21,Inverclyde,16
2021-01-21,Midlothian,16
2021-01-21,Moray,15
2021-01-21,Na h-Eileanan Siar,3
2021-01-21,North Ayrshire,38
2021-01-21,North Lanarkshire,115
2021-01-21,Orkney Islands,1
2021-01-21,Perth & Kinross,26
2021-01-21,Renfrewshire,46
2021-01-21,Scottish Borders,14
2021-01-21,Shetland Islands,0
2021-01-21,South Ayrshire,22
2021-01-21,South Lanarkshire,89
2021-01-21,Stirling,18
2021-01-21,West Dunbartonshire,23
2021-01-21,West Lothian,35
2021-01-22,Aberdeen City,28
2021-01-22,Aberdeenshire,27
2021-01-22,Angus,23
2021-01-22,Argyll & Bute,9
2021-01-22,City of Edinburgh,55
2021-01-22,Clackmannanshire,12
2021-01-22,Dumfries & Galloway,31
2021-01-22,Dundee City,23
2021-01-22,East Ayrshire,31
2021-01-22,East Dunbartonshire,26
2021-01-22,East Lothian,11
2021-01-22,East Renfrewshire,23
2021-01-22,Falkirk,37
2021-01-22,Fife,45
2021-01-22,Glasgow City,190
2021-01-22,Highland,25
2021-01-22,Inverclyde,16
2021-01-22,Midlothian,15
2021-01-22,Moray,14
2021-01-22,Na h-Eileanan Siar,3
2021-01-22,North Ayrshire,39
2021-01-22,North Lanarkshire,110
2021-01-22,Orkney Islands,1
2021-01-22,Perth & Kinross,27
2021-01-22,Renfrewshire,44
2021-01-22,Scottish Borders,13
2021-01-22,Shetland Islands,0
2021-01-22,South Ayrshire,22
2021-01-22,South Lanarkshire,88
2021-01-22,Stirling,19
2021-01-22,West Dunbartonshire,22
2021-01-22,West Lothian,36
2021-01-23,Aberdeen City,26
2021-01-23,Aberdeenshire,27
2021-01-23,Angus,22
2021-01-23,Argyll & Bute,9
2021-01-23,City of Edinburgh,53
2021-01-23,Clackmannanshire,12
2021-01-23,Dumfries & Galloway,29
2021-01-23,Dundee City,24
2021-01-23,East Ayrshire,28
2021-01-23,East Dunbartonshire,26
2021-01-23,East Lothian,11
2021-01-23,East Renfrewshire,24
2021-01-23,Falkirk,39
2021-01-23,Fife,45
2021-01-23,Glasgow City,187
2021-01-23,Highland,23
2021-01-23,Inverclyde,16
2021-01-23,Midlothian,15
2021-01-23,Moray,13
2021-01-23,Na h-Eileanan Siar,3
2021-01-23,North Ayrshire,36
2021-01-23,North Lanarkshire,104
2021-01-23,Orkney Islands,1
2021-01-23,Perth & Kinross,26
2021-01-23,Renfrewshire,45
2021-01-23,Scottish Borders,13
2021-01-23,Shetland Islands,0
2021-01-23,South Ayrshire,21
2021-01-23,South Lanarkshire,90
2021-01-23,Stirling,18
2021-01-23,West Dunbartonshire,22
2021-01-23,West Lothian,36
2021-01-24,Aberdeen City,25
2021-01-24,Aberdeenshire,26
2021-01-24,Angus,18
2021-01-24,Argyll & Bute,10
2021-01-24,City of Edinburgh,53
2021-01-24,Clackmannanshire,11
2021-01-24,Dumfries & Galloway,28
2021-01-24,Dundee City,27
2021-01-24,East Ayrshire,29
2021-01-24,East Dunbartonshire,26
2021-01-24,East Lothian,11
2021-01-24,East Renfrewshire,24
2021-01-24,Falkirk,40
2021-01-24,Fife,44
2021-01-24,Glasgow City,181
2021-01-24,Highland,22
2021-01-24,Inverclyde,16
2021-01-24,Midlothian,15
2021-01-24,Moray,12
2021-01-24,Na h-Eileanan Siar,4
2021-01-24,North Ayrshire,35
2021-01-24,North Lanarkshire,106
2021-01-24,Orkney Islands,1
2021-01-24,Perth & Kinross,25
2021-01-24,Renfrewshire,44
2021-01-24,Scottish Borders,14
2021-01-24,Shetland Islands,0
2021-01-24,South Ayrshire,21
2021-01-24,South Lanarkshire,87
2021-01-24,Stirling,19
2021-01-24,West Dunbartonshire,23
2021-01-24,West Lothian,37
2021-01-25,Aberdeen City,22
2021-01-25,Aberdeenshire,23
2021-01-25,Angus,17
2021-01-25,Argyll & Bute,10
2021-01-25,City of Edinburgh,51
2021-01-25,Clackmannanshire,12
2021-01-25,Dumfries & Galloway,24
2021-01-25,Dundee City,27
2021-01-25,East Ayrshire,29
2021-01-25,East Dunbartonshire,26
2021-01-25,East Lothian,12
2021-01-25,East Renfrewshire,24
2021-01-25,Falkirk,45
2021-01-25,Fife,43
2021-01-25,Glasgow City,176
2021-01-25,Highland,21
2021-01-25,Inverclyde,17
2021-01-25,Midlothian,14
2021-01-25,Moray,12
2021-01-25,Na h-Eileanan Siar,5
2021-01-25,North Ayrshire,34
2021-01-25,North Lanarkshire,99
2021-01-25,Orkney Islands,0
2021-01-25,Perth & Kinross,23
2021-01-25,Renfrewshire,46
2021-01-25,Scottish Borders,12
2021-01-25,Shetland Islands,0
2021-01-25,South Ayrshire,20
2021-01-25,South Lanarkshire,84
2021-01-25,Stirling,19
2021-01-25,West Dunbartonshire,24
2021-01-25,West Lothian,37
2021-01-26,Aberdeen City,20
2021-01-26,Aberdeenshire,24
2021-01-26,Angus,18
2021-01-26,Argyll & Bute,12
2021-01-26,City of Edinburgh,51
2021-01-26,Clackmannanshire,12
2021-01-26,Dumfries & Galloway,22
2021-01-26,Dundee City,27
2021-01-26,East Ayrshire,27
2021-01-26,East Dunbartonshire,25
2021-01-26,East Lothian,14
2021-01-26,East Renfrewshire,23
2021-01-26,Falkirk,49
2021-01-26,Fife,42
2021-01-26,Glasgow City,171
2021-01-26,Highland,21
2021-01-26,Inverclyde,16
2021-01-26,Midlothian,13
2021-01-26,Moray,11
2021-01-26,Na h-Eileanan Siar,5
2021-01-26,North Ayrshire,33
2021-01-26,North Lanarkshire,96
2021-01-26,Orkney Islands,0
2021-01-26,Perth & Kinross,21
2021-01-26,Renfrewshire,45
2021-01-26,Scottish Borders,12
