Date,Council,Deaths_per_LA
2021-01-14,Argyll & Bute,0
2021-01-14,City of Edinburgh,5
2021-01-14,Clackmannanshire,1
2021-01-14,Dumfries & Galloway,2
2021-01-14,Dundee City,1
2021-01-14,East Ayrshire,2
2021-01-14,East Dunbartonshire,2
2021-01-14,East Lothian,1
2021-01-14,East Renfrewshire,1
2021-01-14,Falkirk,1
2021-01-14,Fife,3
2021-01-14,Glasgow City,7
2021-01-14,Highland,2
2021-01-14,Inverclyde,1
2021-01-14,Midlothian,1
2021-01-14,Moray,0
2021-01-14,Na h-Eileanan Siar,0
2021-01-14,North Ayrshire,2
2021-01-14,North Lanarkshire,6
2021-01-14,Orkney Islands,0
2021-01-14,Perth & Kinross,2
2021-01-14,Renfrewshire,2
2021-01-14,Scottish Borders,1
2021-01-14,Shetland Islands,0
2021-01-14,South Ayrshire,1
2021-01-14,South Lanarkshire,4
2021-01-14,Stirling,1
2021-01-14,West Dunbartonshire,0
2021-01-14,West Lothian,0
2021-01-15,Aberdeen City,2
2021-01-15,Aberdeenshire,2
2021-01-15,Angus,2
2021-01-15,Argyll & Bute,0
2021-01-15,City of Edinburgh,5
2021-01-15,Clackmannanshire,1
2021-01-15,Dumfries & Galloway,2
2021-01-15,Dundee City,1
2021-01-15,East Ayrshire,1
2021-01-15,East Dunbartonshire,2
2021-01-15,East Lothian,1
2021-01-15,East Renfrewshire,0
2021-01-15,Falkirk,2
2021-01-15,Fife,3
2021-01-15,Glasgow City,7
2021-01-15,Highland,3
2021-01-15,Inverclyde,1
2021-01-15,Midlothian,1
2021-01-15,Moray,0
2021-01-15,Na h-Eileanan Siar,0
2021-01-15,North Ayrshire,2
2021-01-15,North Lanarkshire,6
2021-01-15,Orkney Islands,0
2021-01-15,Perth & Kinross,2
2021-01-15,Renfrewshire,2
2021-01-15,Scottish Borders,1
2021-01-15,Shetland Islands,0
2021-01-15,South Ayrshire,1
2021-01-15,South Lanarkshire,4
2021-01-15,Stirling,1
2021-01-15,West Dunbartonshire,0
2021-01-15,West Lothian,0
2021-01-16,Aberdeen City,3
2021-01-16,Aberdeenshire,2
2021-01-16,Angus,2
2021-01-16,Argyll & Bute,0
2021-01-16,City of Edinburgh,4
2021-01-16,Clackmannanshire,1
2021-01-16,Dumfries & Galloway,2
2021-01-16,Dundee City,1
2021-01-16,East Ayrshire,1
2021-01-16,East Dunbartonshire,2
2021-01-16,East Lothian,1
2021-01-16,East Renfrewshire,0
2021-01-16,Falkirk,2
2021-01-16,Fife,3
2021-01-16,Glasgow City,8
2021-01-16,Highland,3
2021-01-16,Inverclyde,1
2021-01-16,Midlothian,0
2021-01-16,Moray,0
2021-01-16,Na h-Eileanan Siar,0
2021-01-16,North Ayrshire,2
2021-01-16,North Lanarkshire,5
2021-01-16,Orkney Islands,0
2021-01-16,Perth & Kinross,2
2021-01-16,Renfrewshire,2
2021-01-16,Scottish Borders,1
2021-01-16,Shetland Islands,0
2021-01-16,South Ayrshire,1
2021-01-16,South Lanarkshire,4
2021-01-16,Stirling,1
2021-01-16,West Dunbartonshire,0
2021-01-16,West Lothian,0
2021-01-17,Aberdeen City,3
2021-01-17,Aberdeenshire,1
2021-01-17,Angus,2
2021-01-17,Argyll & Bute,0
2021-01-17,City of Edinburgh,4
2021-01-17,Clackmannanshire,1
2021-01-17,Dumfries & Galloway,2
2021-01-17,Dundee City,1
2021-01-17,East Ayrshire,1
2021-01-17,East Dunbartonshire,2
2021-01-17,East Lothian,1
2021-01-17,East Renfrewshire,1
2021-01-17,Falkirk,3
2021-01-17,Fife,3
2021-01-17,Glasgow City,7
2021-01-17,Highland,2
2021-01-17,Inverclyde,1
2021-01-17,Midlothian,1
2021-01-17,Moray,0
2021-01-17,Na h-Eileanan Siar,0
2021-01-17,North Ayrshire,1
2021-01-17,North Lanarkshire,5
2021-01-17,Orkney Islands,0
2021-01-17,Perth & Kinross,1
2021-01-17,Renfrewshire,2
2021-01-17,Scottish Borders,1
2021-01-17,Shetland Islands,0
2021-01-17,South Ayrshire,1
2021-01-17,South Lanarkshire,3
2021-01-17,Stirling,1
2021-01-17,West Dunbartonshire,0
2021-01-17,West Lothian,0
2021-01-18,Aberdeen City,3
2021-01-18,Aberdeenshire,1
2021-01-18,Angus,2
2021-01-18,Argyll & Bute,0
2021-01-18,City of Edinburgh,4
2021-01-18,Clackmannanshire,0
2021-01-18,Dumfries & Galloway,1
2021-01-18,Dundee City,2
2021-01-18,East Ayrshire,2
2021-01-18,East Dunbartonshire,2
2021-01-18,East Lothian,1
2021-01-18,East Renfrewshire,1
2021-01-18,Falkirk,3
2021-01-18,Fife,2
2021-01-18,Glasgow City,8
2021-01-18,Highland,2
2021-01-18,Inverclyde,1
2021-01-18,Midlothian,0
2021-01-18,Moray,0
2021-01-18,Na h-Eileanan Siar,0
2021-01-18,North Ayrshire,1
2021-01-18,North Lanarkshire,4
2021-01-18,Orkney Islands,0
2021-01-18,Perth & Kinross,1
2021-01-18,Renfrewshire,2
2021-01-18,Scottish Borders,1
2021-01-18,Shetland Islands,0
2021-01-18,South Ayrshire,0
2021-01-18,South Lanarkshire,3
2021-01-18,Stirling,1
2021-01-18,West Dunbartonshire,0
