Date,Council,Vaccinations_per_LA
2021-01-16,Clackmannanshire,720
2021-01-16,Dumfries and Galloway,2359
2021-01-16,Dundee City,2000
2021-01-16,East Ayrshire,1327
2021-01-16,East Dunbartonshire,1688
2021-01-16,East Lothian,1483
2021-01-16,East Renfrewshire,1511
2021-01-16,Falkirk,2032
2021-01-16,Fife,4498
2021-01-16,Glasgow City,5567
2021-01-16,Highland,1812
2021-01-16,Inverclyde,1027
2021-01-16,Midlothian,1578
2021-01-16,Moray,1306
2021-01-16,Na h-Eileanan Siar,723
2021-01-16,North Ayrshire,1199
2021-01-16,North Lanarkshire,4094
2021-01-16,Orkney Islands,429
2021-01-16,Perth and Kinross,1967
2021-01-16,Renfrewshire,2049
2021-01-16,Scottish Borders,1891
2021-01-16,Shetland Islands,188
2021-01-16,South Ayrshire,1374
2021-01-16,South Lanarkshire,4108
2021-01-16,Stirling,1083
2021-01-16,West Dunbartonshire,1386
2021-01-16,West Lothian,2256
2021-01-17,Aberdeen City,3419
2021-01-17,Aberdeenshire,4931
2021-01-17,Angus,1655
2021-01-17,Argyll and Bute,1264
2021-01-17,City of Edinburgh,7138
2021-01-17,Clackmannanshire,762
2021-01-17,Dumfries and Galloway,2552
2021-01-17,Dundee City,2175
2021-01-17,East Ayrshire,1433
2021-01-17,East Dunbartonshire,1783
2021-01-17,East Lothian,1615
2021-01-17,East Renfrewshire,1623
2021-01-17,Falkirk,2109
2021-01-17,Fife,4869
2021-01-17,Glasgow City,5872
2021-01-17,Highland,1992
2021-01-17,Inverclyde,1113
2021-01-17,Midlothian,1695
2021-01-17,Moray,1460
2021-01-17,Na h-Eileanan Siar,754
2021-01-17,North Ayrshire,1277
2021-01-17,North Lanarkshire,4402
2021-01-17,Orkney Islands,459
2021-01-17,Perth and Kinross,2160
2021-01-17,Renfrewshire,2171
2021-01-17,Scottish Borders,2088
2021-01-17,Shetland Islands,202
2021-01-17,South Ayrshire,1475
2021-01-17,South Lanarkshire,4425
2021-01-17,Stirling,1149
2021-01-17,West Dunbartonshire,1453
2021-01-17,West Lothian,2381
2021-01-18,Aberdeen City,3707
2021-01-18,Aberdeenshire,5303
2021-01-18,Angus,1818
2021-01-18,Argyll and Bute,1316
2021-01-18,City of Edinburgh,7596
2021-01-18,Clackmannanshire,804
2021-01-18,Dumfries and Galloway,2745
2021-01-18,Dundee City,2329
2021-01-18,East Ayrshire,1538
2021-01-18,East Dunbartonshire,1874
2021-01-18,East Lothian,1745
2021-01-18,East Renfrewshire,1719
2021-01-18,Falkirk,2184
2021-01-18,Fife,5235
2021-01-18,Glasgow City,6152
2021-01-18,Highland,2172
2021-01-18,Inverclyde,1197
2021-01-18,Midlothian,1810
2021-01-18,Moray,1614
2021-01-18,Na h-Eileanan Siar,785
2021-01-18,North Ayrshire,1353
2021-01-18,North Lanarkshire,4722
2021-01-18,Orkney Islands,489
2021-01-18,Perth and Kinross,2324
2021-01-18,Renfrewshire,2280
2021-01-18,Scottish Borders,2236
2021-01-18,Shetland Islands,216
2021-01-18,South Ayrshire,1575
2021-01-18,South Lanarkshire,4729
2021-01-18,Stirling,1213
2021-01-18,West Dunbartonshire,1518
2021-01-18,West Lothian,2496
2021-01-19,Aberdeen City,3920
2021-01-19,Aberdeenshire,5583
2021-01-19,Angus,1932
2021-01-19,Argyll and Bute,1367
2021-01-19,City of Edinburgh,7907
2021-01-19,Clackmannanshire,838
2021-01-19,Dumfries and Galloway,2896
2021-01-19,Dundee City,2438
2021-01-19,East Ayrshire,1637
2021-01-19,East Dunbartonshire,1954
2021-01-19,East Lothian,1837
2021-01-19,East Renfrewshire,1786
2021-01-19,Falkirk,2243
2021-01-19,Fife,5495
2021-01-19,Glasgow City,6385
2021-01-19,Highland,2319
2021-01-19,Inverclyde,1261
2021-01-19,Midlothian,1884
2021-01-19,Moray,1719
2021-01-19,Na h-Eileanan Siar,814
2021-01-19,North Ayrshire,1438
2021-01-19,North Lanarkshire,4983
2021-01-19,Orkney Islands,515
2021-01-19,Perth and Kinross,2445
2021-01-19,Renfrewshire,2381
2021-01-19,Scottish Borders,2358
2021-01-19,Shetland Islands,225
2021-01-19,South Ayrshire,1669
2021-01-19,South Lanarkshire,4999
2021-01-19,Stirling,1249
2021-01-19,West Dunbartonshire,1570
2021-01-19,West Lothian,2574
2021-01-20,Aberdeen City,4125
2021-01-20,Aberdeenshire,5753
2021-01-20,Angus,2055
2021-01-20,Argyll and Bute,1416
2021-01-20,City of Edinburgh,8122
2021-01-20,Clackmannanshire,853
2021-01-20,Dumfries and Galloway,3007
