Date,AgeGroup,DailyPositive,DailyDeaths,NumberVaccinated
2021-05-17,over 75,4,1,401864
2021-05-18,over 75,4,1,407196
2021-05-18,under 60,248,0,1340422
2021-05-18,over 60,19,1,1192093
2021-05-19,over 75,3,1,412463
2021-05-19,over 60,20,1,1190891
2021-05-19,under 60,246,0,1343338
2021-05-20,under 60,227,0,1346960
2021-05-20,over 60,21,1,1192272
2021-05-20,over 75,4,0,417233
2021-05-21,over 60,22,1,1196691
2021-05-21,under 60,201,0,1351353
2021-05-21,over 75,4,0,421474
2021-05-22,under 60,181,0,1356346
2021-05-22,over 75,4,0,425117
2021-05-22,over 60,25,1,1205670
2021-05-23,over 60,25,1,1214577
2021-05-23,under 60,192,0,1361201
2021-05-23,over 75,5,0,427401
2021-05-24,over 60,26,1,1225151
2021-05-24,under 60,287,0,1365629
2021-05-24,over 75,5,0,429376
2021-05-25,under 60,300,0,1368629
2021-05-25,over 60,28,1,1235960
2021-05-25,over 75,6,0,430974
2021-05-26,over 75,7,0,432194
2021-05-26,under 60,400,0,1370711
2021-05-26,over 60,31,1,1246873
2021-05-27,under 60,334,0,1371755
2021-05-27,over 75,8,1,433341
2021-05-27,over 60,33,1,1257935
2021-05-28,over 75,8,1,434106
2021-05-28,under 60,342,0,1371872
2021-05-28,over 60,33,1,1268341
2021-05-29,under 60,265,0,1371014
2021-05-29,over 60,33,1,1276727
2021-05-29,over 75,8,1,434625
2021-05-30,under 60,314,0,1370777
2021-05-30,over 60,35,1,1283676
2021-05-30,over 75,8,1,434903
2021-05-31,over 75,9,1,435189
2021-05-31,under 60,414,0,1370347
2021-05-31,over 60,39,1,1289213
2021-06-01,over 60,39,2,1293997
2021-06-01,over 75,9,1,435405
2021-06-01,under 60,540,0,1370806
2021-06-02,over 75,9,1,435292
2021-06-02,under 60,652,0,1372607
2021-06-02,over 60,42,2,1297794
2021-06-03,over 75,9,1,434901
2021-06-03,under 60,619,0,1376017
2021-06-03,over 60,44,1,1300150
2021-06-04,over 75,9,1,434427
2021-06-04,over 60,47,2,1301529
2021-06-04,under 60,543,0,1380607
2021-06-05,over 60,49,2,1302526
2021-06-05,under 60,399,0,1387715
2021-06-05,over 75,10,1,433737
2021-06-06,under 60,421,0,1396433
2021-06-06,over 60,48,2,1303085
2021-06-06,over 75,10,1,433041
2021-06-07,over 75,10,2,432309
2021-06-07,over 60,50,2,1303810
2021-06-07,under 60,589,0,1407157
2021-06-08,over 60,53,2,1304850
2021-06-08,over 75,11,2,431470
2021-06-08,under 60,689,0,1419157
2021-06-09,over 75,10,2,430629
2021-06-09,under 60,676,0,1432535
2021-06-09,over 60,50,2,1306349
2021-06-10,over 75,11,2,429755
2021-06-10,under 60,660,0,1446572
2021-06-10,over 60,49,2,1308539
2021-06-11,over 60,52,2,1311147
2021-06-11,over 75,12,2,428751
2021-06-11,under 60,561,0,1461049
2021-06-12,over 60,52,3,1313091
2021-06-12,under 60,441,0,1475539
2021-06-12,over 75,12,2,427674
2021-06-13,under 60,562,0,1489912
2021-06-13,over 75,13,2,426599
2021-06-13,over 60,55,3,1314720
2021-06-14,over 60,61,3,1314312
2021-06-14,under 60,711,0,1503823
2021-06-14,over 75,14,2,425431
2021-06-15,under 60,821,0,1517570
2021-06-15,over 60,68,3,1311555
2021-06-15,over 75,16,1,424122
2021-06-16,over 75,18,1,422692
2021-06-16,under 60,820,0,1530335
2021-06-16,over 60,79,3,1306379
2021-06-17,over 60,91,3,1298791
2021-06-17,over 75,19,1,420919
2021-06-17,under 60,734,0,1542221
2021-06-18,over 60,98,3,1289467
2021-06-18,over 75,20,2,418972
2021-06-18,under 60,750,0,1553668
2021-06-19,over 60,107,2,1278865
2021-06-19,under 60,624,0,1563025
2021-06-19,over 75,21,2,416521
2021-06-20,over 75,25,2,413968
2021-06-20,over 60,117,2,1267764
2021-06-20,under 60,1060,1,1571090
2021-06-21,over 60,127,2,1257704
2021-06-21,under 60,2105,1,1577972
2021-06-21,over 75,26,2,411183
2021-06-22,over 75,29,3,407843
2021-06-22,over 60,138,3,1249205
2021-06-22,under 60,2339,1,1583409
2021-06-23,under 60,2075,1,1587909
2021-06-23,over 75,35,3,403866
2021-06-23,over 60,155,4,1242065
2021-06-24,over 60,167,5,1235832
2021-06-24,over 75,38,4,399256
2021-06-24,under 60,2070,1,1592021
2021-06-25,over 75,45,4,393908
2021-06-25,under 60,1815,1,1596234
2021-06-25,over 60,180,5,1230012
2021-06-26,over 60,189,5,1223357
2021-06-26,under 60,1573,1,1601684
2021-06-26,over 75,49,4,386561
2021-06-27,under 60,1712,1,1608195
2021-06-27,over 75,47,4,378990
2021-06-27,over 60,196,6,1217310
2021-06-28,under 60,2642,1,1615531
2021-06-28,over 75,50,4,370566
2021-06-28,over 60,206,5,1211063
2021-06-29,over 60,208,4,1203680
2021-06-29,under 60,2655,1,1624110
2021-06-29,over 75,53,3,361149
2021-06-30,over 60,205,4,1194400
2021-06-30,under 60,2654,0,1633583
2021-06-30,over 75,54,2,350325
