Date,AgeGroup,DailyPositive,DailyDeaths,NumberVaccinated
2021-05-12,over 60,18,1,8543
2021-05-12,under 60,171,1,34945
2021-05-13,under 60,166,0,31938
2021-05-13,over 60,35,0,8855
2021-05-13,over 75,9,0,707
2021-05-14,over 75,4,0,396
2021-05-14,under 60,186,0,33076
2021-05-14,over 60,14,0,7493
2021-05-15,over 75,4,0,159
2021-05-15,over 60,13,0,6022
2021-05-15,under 60,134,0,30441
2021-05-16,over 60,4,0,6018
2021-05-16,under 60,150,0,24480
2021-05-16,over 75,2,0,228
2021-05-17,over 75,6,1,323
2021-05-17,under 60,207,0,32563
2021-05-17,over 60,20,1,8539
2021-05-18,over 75,8,0,380
2021-05-18,under 60,248,0,35729
2021-05-18,over 60,21,0,10192
2021-05-19,over 75,4,0,419
2021-05-19,over 60,13,0,11196
2021-05-19,under 60,246,0,33950
2021-05-20,under 60,227,0,32337
2021-05-20,over 60,22,0,10905
2021-05-20,over 75,3,0,387
2021-05-21,over 60,18,0,10271
2021-05-21,under 60,201,0,34365
2021-05-21,over 75,4,0,263
2021-05-22,over 60,13,1,10996
2021-05-22,under 60,181,0,31315
2021-05-22,over 75,3,1,96
2021-05-23,over 60,25,1,10745
2021-05-23,under 60,192,0,22485
2021-05-23,over 75,5,1,40
2021-05-24,over 60,17,0,14477
2021-05-24,under 60,287,0,30001
2021-05-24,over 75,2,0,205
2021-05-25,over 60,23,0,16745
2021-05-25,under 60,300,0,33213
2021-05-25,over 75,4,0,277
2021-05-26,over 75,3,1,238
2021-05-26,under 60,400,0,34745
2021-05-26,over 60,20,2,13306
2021-05-27,over 60,30,1,10519
2021-05-27,under 60,334,0,38382
2021-05-27,over 75,6,1,251
2021-05-28,over 60,27,1,9042
2021-05-28,under 60,342,0,37698
2021-05-28,over 75,5,1,196
2021-05-29,under 60,265,0,35084
2021-05-29,over 60,30,2,6131
2021-05-29,over 75,5,1,61
2021-05-30,under 60,314,0,31519
2021-05-30,over 60,30,1,4375
2021-05-30,over 75,8,1,50
2021-05-31,over 75,7,0,103
2021-05-31,under 60,414,0,37359
2021-05-31,over 60,25,0,9517
2021-06-01,over 60,35,0,8883
2021-06-01,over 75,11,0,123
2021-06-01,under 60,540,0,42148
2021-06-02,over 60,40,1,8130
2021-06-02,over 75,8,0,149
2021-06-02,under 60,652,0,43350
2021-06-03,over 75,11,0,136
2021-06-03,under 60,619,1,44804
2021-06-03,over 60,43,1,6765
2021-06-04,over 75,6,1,113
2021-06-04,over 60,28,1,6589
2021-06-04,under 60,543,0,45078
2021-06-05,under 60,399,0,41980
2021-06-05,over 60,32,0,6188
2021-06-05,over 75,4,0,99
2021-06-06,under 60,421,0,36668
2021-06-06,over 60,45,1,4102
2021-06-06,over 75,12,1,24
2021-06-07,under 60,589,1,43718
2021-06-07,over 75,10,0,113
2021-06-07,over 60,47,0,5124
2021-06-08,over 75,12,0,175
2021-06-08,under 60,689,0,44816
2021-06-08,over 60,37,0,4865
2021-06-09,over 75,11,1,111
2021-06-09,under 60,676,1,45641
2021-06-09,over 60,59,1,4608
2021-06-10,over 75,10,2,146
2021-06-10,under 60,660,0,41800
2021-06-10,over 60,58,2,4550
2021-06-11,over 60,48,0,3945
2021-06-11,over 75,6,0,119
2021-06-11,under 60,561,0,40857
2021-06-12,over 60,46,0,3505
2021-06-12,under 60,441,0,40698
2021-06-12,over 75,11,0,35
2021-06-13,over 60,39,3,2658
2021-06-13,under 60,562,0,35572
2021-06-13,over 75,9,2,27
2021-06-14,over 60,60,1,1679
2021-06-14,under 60,711,0,37478
2021-06-14,over 75,14,1,113
2021-06-15,under 60,821,2,40907
2021-06-15,over 60,62,4,1403
2021-06-15,over 75,13,2,100
2021-06-16,under 60,820,0,40071
2021-06-16,over 75,6,1,132
2021-06-16,over 60,36,1,2053
2021-06-17,over 60,53,1,1406
2021-06-17,over 75,19,1,147
2021-06-17,under 60,734,0,38605
2021-06-18,under 60,750,0,36802
2021-06-18,over 60,67,3,1183
2021-06-18,over 75,9,1,110
2021-06-19,under 60,624,0,34619
2021-06-19,over 75,11,2,51
2021-06-19,over 60,46,2,1122
2021-06-20,over 75,17,2,29
2021-06-20,over 60,61,3,609
2021-06-20,under 60,1060,0,30207
2021-06-21,over 60,104,2,1301
2021-06-21,under 60,2105,0,31247
2021-06-21,over 75,22,2,77
2021-06-22,over 75,26,2,105
2021-06-22,over 60,108,4,1085
2021-06-22,under 60,2339,0,30172
2021-06-23,over 75,20,1,88
2021-06-23,over 60,111,1,1191
2021-06-23,under 60,2075,0,26861
2021-06-24,over 75,26,1,124
2021-06-24,under 60,2070,0,28887
2021-06-24,over 60,139,2,1385
2021-06-25,over 75,17,1,87
2021-06-25,under 60,1815,0,32637
2021-06-25,over 60,120,1,833
2021-06-26,over 60,109,7,698
2021-06-26,under 60,1573,1,30338
2021-06-26,over 75,20,3,18
2021-06-27,over 75,44,1,29
2021-06-27,under 60,1712,0,25896
2021-06-27,over 60,126,3,526
2021-06-28,over 75,31,2,44
2021-06-28,under 60,2642,0,25056
2021-06-28,over 60,178,3,422
2021-06-29,under 60,2655,1,27891
2021-06-29,over 60,186,2,448
2021-06-29,over 75,48,1,70
2021-06-30,under 60,2654,0,26226
2021-06-30,over 60,230,1,443
2021-06-30,over 75,59,1,62
