_id,Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2
63,20200303,S08000017,NHS Dumfries & Galloway,0,0,0,,0,0,0,9,41,27.5426575305656,10,0,0,0,10,0,,:,,:,0,0
64,20200303,S08000019,NHS Forth Valley,1,2,0.652230628750326,,0,0,0,16,57,18.5885729193843,25,1,4,0,25,0,,:,,:,1,0
65,20200303,S08000020,NHS Grampian,1,2,0.341471743213249,,0,0,0,11,43,7.34164247908486,15,1,6.66666666666667,0,15,0,,:,,:,1,0
66,20200303,S08000022,NHS Highland,0,0,0,,0,0,0,9,18,5.5952751010258,10,0,0,0,10,0,,:,,:,0,0
67,20200303,S08000024,NHS Lothian,0,0,0,,0,0,0,45,157,17.2987505233698,48,0,0,0,48,0,,:,,:,0,0
68,20200303,S08000025,NHS Orkney,0,0,0,,0,0,0,1,1,4.49034575662326,1,0,0,0,1,0,,:,,:,0,0
69,20200303,S08000026,NHS Shetland,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,:,,:,0,0
70,20200303,S08000028,NHS Western Isles,0,0,0,,0,0,0,1,1,3.74251497005988,1,0,0,0,1,0,,:,,:,0,0
71,20200303,S08000029,NHS Fife,0,0,0,,0,0,0,11,43,11.5111765493241,13,0,0,0,13,0,,:,,:,0,0
72,20200303,S08000030,NHS Tayside,0,1,0.239538170407454,,0,0,0,18,33,7.904759623446,37,2,5.40540540540541,0,37,0,,:,,:,2,0
73,20200303,S08000031,NHS Greater Glasgow & Clyde,1,1,0.0845222800730273,,0,0,0,55,181,15.2985326932179,72,2,2.77777777777778,0,72,0,,:,,:,2,0
74,20200303,S08000032,NHS Lanarkshire,0,0,0,,0,0,0,29,82,12.3885783350959,35,0,0,0,35,0,,:,,:,0,0
75,20200303,S92000003,Scotland,3,7,0.128127688393462,,0,0,0,224,713,13.0507202606483,288,6,2.08333333333333,0,288,0,13,"",,:,6,0
76,20200304,S08000015,NHS Ayrshire & Arran,0,1,0.270738574832142,,0,0,0,10,54,14.6198830409357,15,1,6.66666666666667,0,15,0,,:,,:,1,0
77,20200304,S08000016,NHS Borders,0,0,0,,0,0,0,3,15,12.9858886676478,3,0,0,0,3,0,,:,,:,0,0
78,20200304,S08000017,NHS Dumfries & Galloway,0,0,0,,0,0,0,9,50,33.5886067445922,11,0,0,0,11,0,,:,,:,0,0
79,20200304,S08000019,NHS Forth Valley,1,3,0.978345943125489,,0,0,0,19,76,24.7847638925124,33,4,12.1212121212121,0,33,0,,:,,:,4,0
80,20200304,S08000020,NHS Grampian,2,4,0.682943486426498,,0,0,0,5,48,8.19532183711798,7,2,28.571428571428598,0,7,0,,:,,:,2,0
81,20200304,S08000022,NHS Highland,0,0,0,,0,0,0,8,26,8.08206403481505,8,0,0,0,8,0,,:,,:,0,0
82,20200304,S08000024,NHS Lothian,1,1,0.110183124352674,,0,0,0,27,184,20.273694880892,33,1,3.03030303030303,0,33,0,,:,,:,1,0
83,20200304,S08000025,NHS Orkney,0,0,0,,0,0,0,0,1,4.49034575662326,0,0,0,0,0,0,,:,,:,0,0
84,20200304,S08000026,NHS Shetland,0,0,0,,0,0,0,1,1,4.3630017452007,1,0,0,0,1,0,,:,,:,0,0
85,20200304,S08000028,NHS Western Isles,0,0,0,,0,0,0,1,2,7.48502994011976,1,0,0,0,1,0,,:,,:,0,0
86,20200304,S08000029,NHS Fife,2,2,0.535403560433677,,0,0,0,1,44,11.7788783295409,3,2,66.6666666666667,0,3,0,,:,,:,2,0
87,20200304,S08000030,NHS Tayside,0,1,0.239538170407454,,0,0,0,12,45,10.7792176683355,22,0,0,0,22,0,,:,,:,0,0
88,20200304,S08000031,NHS Greater Glasgow & Clyde,0,1,0.0845222800730273,,0,0,0,69,250,21.1305700182568,92,0,0,0,92,0,,:,,:,0,0
89,20200304,S08000032,NHS Lanarkshire,0,0,0,,0,0,0,20,102,15.4101828070706,26,0,0,0,26,0,,:,,:,0,0
90,20200304,S92000003,Scotland,6,13,0.237951421302143,,0,0,0,185,898,16.4369520253327,255,10,3.9215686274509802,0,255,0,10,"",,:,10,0
91,20200305,S08000015,NHS Ayrshire & Arran,0,1,0.270738574832142,0.270738574832142,0,0,0,15,69,18.6809616634178,17,0,0,2.4691358024691397,17,0,,:,,:,0,0
92,20200305,S08000016,NHS Borders,0,0,0,0,0,0,0,1,16,13.8516145788243,1,0,0,0,1,0,,:,,:,0,0
93,20200305,S08000017,NHS Dumfries & Galloway,0,0,0,0,0,0,0,6,56,37.6192395539433,6,0,0,0,6,0,,:,,:,0,0
94,20200305,S08000019,NHS Forth Valley,0,3,0.978345943125489,0.978345943125489,0,0,0,14,90,29.3503782937647,18,0,0,4.3795620437956195,18,0,,:,,:,0,0
95,20200305,S08000020,NHS Grampian,0,4,0.682943486426498,0.682943486426498,0,0,0,5,53,9.0490011951511,15,2,13.3333333333333,8.21917808219178,15,0,,:,,:,2,0
96,20200305,S08000022,NHS Highland,0,0,0,0,0,0,0,10,36,11.1905502020516,11,0,0,0,11,0,,:,,:,0,0
97,20200305,S08000024,NHS Lothian,0,1,0.110183124352674,0.110183124352674,0,0,0,23,207,22.8079067410035,32,1,3.125,0.8333333333333329,32,0,,:,,:,1,0
98,20200305,S08000025,NHS Orkney,0,0,0,0,0,0,0,0,1,4.49034575662326,0,0,0,0,0,0,,:,,:,0,0
99,20200305,S08000026,NHS Shetland,0,0,0,0,0,0,0,1,2,8.7260034904014,2,0,0,0,2,0,,:,,:,0,0
100,20200305,S08000028,NHS Western Isles,0,0,0,0,0,0,0,0,2,7.48502994011976,2,0,0,0,2,0,,:,,:,0,0
101,20200305,S08000029,NHS Fife,0,2,0.535403560433677,0.535403560433677,0,0,0,9,53,14.1881943514924,9,0,0,3.33333333333333,9,0,,:,,:,0,0
102,20200305,S08000030,NHS Tayside,0,1,0.239538170407454,0.239538170407454,0,0,0,12,57,13.6536757132249,30,2,6.66666666666667,7.5,30,0,,:,,:,2,0
103,20200305,S08000031,NHS Greater Glasgow & Clyde,1,2,0.169044560146055,0.169044560146055,0,0,0,73,323,27.3006964635878,91,2,2.1978021978022,0.9501187648456059,91,0,,:,,:,2,0
104,20200305,S08000032,NHS Lanarkshire,1,1,0.151080223598731,0.151080223598731,0,0,0,22,124,18.7339477262426,32,1,3.125,0.636942675159236,32,0,,:,,:,1,0
105,20200305,S92000003,Scotland,2,15,0.274559332271704,0.274559332271704,0,0,0,191,1089,19.9330075229257,266,8,3.00751879699248,2.25510923185342,266,0,19,"",,:,8,0
106,20200306,S08000015,NHS Ayrshire & Arran,0,1,0.270738574832142,0.270738574832142,0,0,0,9,78,21.1176088369071,13,0,0,2.35294117647059,13,0,,:,,:,0,0
107,20200306,S08000016,NHS Borders,0,0,0,0,0,0,0,5,21,18.180244134707,5,0,0,0,5,0,,:,,:,0,0
108,20200306,S08000017,NHS Dumfries & Galloway,0,0,0,0,0,0,0,16,72,48.3675937122128,19,0,0,0,19,0,,:,,:,0,0
109,20200306,S08000019,NHS Forth Valley,0,3,0.978345943125489,0.978345943125489,0,0,0,18,108,35.2204539525176,38,2,5.26315789473684,5.16129032258065,38,0,,:,,:,2,0
110,20200306,S08000020,NHS Grampian,0,4,0.682943486426498,0.682943486426498,0,0,0,5,58,9.90268055318422,11,1,9.09090909090909,8.974358974358971,11,0,,:,,:,1,0
111,20200306,S08000022,NHS Highland,0,0,0,0,0,0,0,8,44,13.6773391358408,8,0,0,0,8,0,,:,,:,0,0
112,20200306,S08000024,NHS Lothian,2,3,0.330549373058022,0.330549373058022,0,0,0,28,235,25.8930342228784,37,3,8.10810810810811,2.21238938053097,37,0,,:,,:,3,0
